"Male","Female","score","url"
"2005","1980","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1980.html"
"2005","1979","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1979.html"
"2005","1978","1","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1978.html"
"2005","1977","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1977.html"
"2005","1976","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1976.html"
"2005","1975","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1975.html"
"2005","1974","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1974.html"
"2005","1973","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1973.html"
"2005","1972","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1972.html"
"2005","1971","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1971.html"
"2005","1970","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1970.html"
"2005","1969","0","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1969.html"
"2005","1968","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1968.html"
"2005","1967","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1967.html"
"2005","1966","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1966.html"
"2005","1965","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1965.html"
"2005","1964","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1964.html"
"2005","1963","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1963.html"
"2005","1962","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1962.html"
"2005","1961","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1961.html"
"2005","1960","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1960.html"
"2005","1959","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1959.html"
"2005","1958","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1958.html"
"2005","1957","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1957.html"
"2005","1956","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1956.html"
"2005","1955","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1955.html"
"2005","1954","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1954.html"
"2005","1953","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1953.html"
"2005","1952","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1952.html"
"2005","1951","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2005-hop-tuoi-1951.html"
"2004","2007","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-2007.html"
"2004","2006","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-2006.html"
"2004","2005","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-2005.html"
"2004","2004","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-2004.html"
"2004","2003","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-2003.html"
"2004","2002","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-2002.html"
"2004","2001","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-2001.html"
"2004","2000","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-2000.html"
"2004","1999","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1999.html"
"2004","1998","0","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1998.html"
"2004","1997","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1997.html"
"2004","1996","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1996.html"
"2004","1995","1","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1995.html"
"2004","1994","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1994.html"
"2004","1993","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1993.html"
"2004","1992","9","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1992.html"
"2004","1991","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1991.html"
"2004","1990","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1990.html"
"2004","1989","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1989.html"
"2004","1988","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1988.html"
"2004","1987","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1987.html"
"2004","1986","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1986.html"
"2004","1985","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1985.html"
"2004","1984","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1984.html"
"2004","1983","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1983.html"
"2004","1982","9","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1982.html"
"2004","1981","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1981.html"
"2004","1980","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1980.html"
"2004","1979","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1979.html"
"2004","1978","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1978.html"
"2004","1977","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1977.html"
"2004","1976","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1976.html"
"2004","1975","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1975.html"
"2004","1974","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1974.html"
"2004","1973","9","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1973.html"
"2004","1972","9","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1972.html"
"2004","1971","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1971.html"
"2004","1970","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1970.html"
"2004","1969","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1969.html"
"2004","1968","1","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1968.html"
"2004","1967","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1967.html"
"2004","1966","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1966.html"
"2004","1965","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1965.html"
"2004","1964","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1964.html"
"2004","1963","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1963.html"
"2004","1962","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1962.html"
"2004","1961","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1961.html"
"2004","1960","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1960.html"
"2004","1959","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1959.html"
"2004","1958","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1958.html"
"2004","1957","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1957.html"
"2004","1956","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1956.html"
"2004","1955","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1955.html"
"2004","1954","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1954.html"
"2004","1953","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1953.html"
"2004","1952","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1952.html"
"2004","1951","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2004-hop-tuoi-1951.html"
"2003","2007","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2003-hop-tuoi-2007.html"
"2003","2006","1","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2003-hop-tuoi-2006.html"
"2003","2005","9","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2003-hop-tuoi-2005.html"
"2003","2004","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2003-hop-tuoi-2004.html"
"2003","2003","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2003-hop-tuoi-2003.html"
"2003","2002","8","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2003-hop-tuoi-2002.html"
"2003","2001","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2003-hop-tuoi-2001.html"
"2003","2000","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2003-hop-tuoi-2000.html"
"2003","1999","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2003-hop-tuoi-1999.html"
"2003","1998","1","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2003-hop-tuoi-1998.html"
"2003","1997","2","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2003-hop-tuoi-1997.html"
"2003","1996","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2003-hop-tuoi-1996.html"
