ID,height
112159,164.0
99506,168.0
130740,158.0
124743,158.0
114769,174.0
67446,160.0
121181,160.0
66477,155.0
9767,168.0
66299,155.0
66593,170.0
109609,170.0
129994,170.0
9109,
872,150.0
108350,
112307,159.0
53671,160.0
102175,172.0
5873,164.0
54600,164.0
102183,165.0
40937,165.0
100362,175.0
9496,170.0
102627,162.0
79652,156.0
103972,
79891,166.0
99948,153.0
37339,158.0
126887,165.0
2660,162.0
107110,154.0
53612,150.0
98824,152.0
93450,156.0
6773,159.0
112227,156.0
122798,150.0
103514,170.0
67589,170.0
110086,157.0
109962,163.0
108767,162.0
107614,165.0
73535,170.0
94011,160.0
83514,158.0
66848,155.0
113250,157.0
113082,150.0
55275,161.0
112367,157.0
111646,160.0
55368,160.0
63655,172.0
105803,155.0
104555,165.0
104608,162.0
98634,163.0
67138,163.0
104955,167.0
114085,170.0
62721,170.0
755,165.0
46861,172.0
67158,17.5
2751,167.0
113290,173.0
108564,168.0
129968,165.0
105283,167.0
113887,155.0
66427,155.0
1349,158.0
102850,165.0
9169,152.0
67169,157.0
130601,168.0
105877,167.0
920,163.0
126638,170.0
55896,
67752,176.0
106528,165.0
117716,175.0
103415,167.0
103651,168.0
101730,165.0
99656,165.0
106564,178.0
101077,168.0
98950,
106176,186.0
5258,
51450,165.0
4582,168.0
113939,160.0
112662,164.0
112485,167.0
122272,168.0
66254,
94012,160.0
6557,16.299999999999997
111485,165.0
100047,168.0
115751,169.0
104673,156.0
99011,174.0
105067,157.0
103922,180.0
9606,162.0
109190,160.0
117654,162.0
25186,165.0
7569,164.0
102640,167.0
67047,17.0
125648,162.0
715,163.0
56627,170.0
104930,168.0
1766,173.0
99392,160.0
9604,
53712,16.0
8100,164.0
101808,183.0
67650,168.0
115858,172.0
1865,170.0
3768,159.0
52504,153.0
115379,163.0
67439,165.0
7822,172.0
74517,170.0
46387,172.0
7499,168.0
117044,163.0
114760,159.0
113187,172.0
103028,169.0
4947,161.0
7592,15.5
7255,152.0
7839,168.0
65425,165.0
73209,
6750,162.0
8519,170.0
99612,167.0
103940,158.0
66770,160.0
5415,152.0
7791,150.0
57306,157.0
55763,165.0
64407,159.0
53667,168.0
130278,172.0
8573,155.0
9189,14.9
5106,15.7
9225,153.0
108605,153.0
111376,157.0
67403,174.0
122180,175.0
99541,17.1
104185,163.0
100504,158.0
4696,169.0
106283,17.0
104420,167.0
7555,147.0
61070,156.0
64030,163.0
7747,155.0
99352,155.0
41065,160.0
59391,160.0
82822,162.0
55313,16.9
111700,176.0
94005,142.0
7949,154.0
67346,158.0
53089,154.0
101304,175.0
30203,162.0
101629,165.0
106974,162.0
67361,16.299999999999997
105261,165.0
53453,175.0
102598,150.0
101896,170.0
30025,160.0
6427,163.0
99540,170.0
99133,163.0
913,160.0
4952,16.599999999999998
35725,174.0
101647,168.0
103184,165.0
111660,168.0
94010,162.0
108249,160.0
1656,160.0
67689,164.0
66250,156.0
67480,164.0
103169,167.0
75215,16.0
65198,160.0
53536,150.0
98591,158.0
78661,165.0
113183,168.0
83429,158.0
67179,163.0
112882,173.0
102630,173.0
121594,165.0
110888,164.0
67027,180.0
99581,16.7
60499,170.0
105983,
1294,166.0
98852,175.0
60520,153.0
103244,156.0
103260,16.0
66759,172.0
64588,165.0
108803,170.0
1403,163.0
