id,education
9402,Trên đại học
5428,Trên đại học
6318,Đại học
60285,Đại học
9379,Đại học
122301,Trên đại học
66714,Đại học
122638,Dưới đại học
113139,Trên đại học
67174,Đại học
113372,Đại học
8597,Đại học
5637,Đại học
2953,Trên đại học
66837,Trên đại học
111073,Đại học
67473,Đại học
123176,Dưới đại học
112916,Đại học
113858,Đại học
66356,Dưới đại học
2501,Đại học
107699,Đại học
67004,Trên đại học
53899,Đại học
4397,Đại học
129250,Dưới đại học
104247,Dưới đại học
130733,Đại học
107577,Đại học
3102,Đại học
55499,Đại học
106416,Dưới đại học
92848,Dưới đại học
4672,Đại học
9487,Đại học
119635,Đại học
102622,Đại học
4961,Đại học
126215,Dưới đại học
112949,Đại học
117357,Đại học
103725,Đại học
112592,Đại học
107063,
3329,Đại học
111839,Đại học
67176,Đại học
98791,Trên đại học
4418,Đại học
4441,Đại học
113194,Đại học
65911,Đại học
57745,Đại học
67401,Đại học
55652,Trên đại học
113650,Đại học
105807,Dưới đại học
2397,Đại học
105227,Dưới đại học
1899,Đại học
66699,Đại học
67102,Du học
107445,
54020,Đại học
4363,Đại học
8587,Đại học
93880,Dưới đại học
113077,Đại học
8111,Trên đại học
73147,Đại học
101819,Đại học
55384,Đại học
126443,Dưới đại học
47943,Đại học
116588,Đại học
9074,Đại học
111008,Đại học
91983,Trên đại học
53371,Trên đại học
66122,Đại học
103878,Đại học
57719,Đại học
81888,Đại học
91790,Dưới đại học
66711,Trên đại học
102650,Dưới đại học
8771,Dưới đại học
51751,Đại học
67228,Đại học
99873,Đại học
99845,Đại học
1074,Đại học
104039,Dưới đại học
834,Đại học
104852,Đại học
50979,Đại học
58086,Đại học
2357,Dưới đại học
113586,Đại học
100012,Đại học
9596,Dưới đại học
117201,Dưới đại học
110583,Trên đại học
129701,Đại học
127352,Dưới đại học
2507,Trên đại học
108999,Dưới đại học
4790,Đại học
8082,Dưới đại học
102528,Đại học
129507,Đại học
8503,Dưới đại học
2699,Đại học
40781,Dưới đại học
105817,Đại học
99627,Đại học
82464,Dưới đại học
126370,Dưới đại học
82336,Đại học
5672,Đại học
44029,Dưới đại học
79934,Đại học
5454,Đại học
98853,Đại học
4835,Đại học
52229,Đại học
9412,Đại học
115581,Dưới đại học
55209,Đại học
2960,Đại học
114296,Đại học
121324,Dưới đại học
59173,Đại học
103849,Dưới đại học
3840,Dưới đại học
67205,Dưới đại học
2701,Đại học
791,Đại học
9446,Đại học
8907,Dưới đại học
115173,Trên đại học
102182,Đại học
107850,Dưới đại học
7769,Đại học
131583,Dưới đại học
111093,Đại học
8092,Đại học
123133,Đại học
115990,Dưới đại học
102739,Đại học
121939,Dưới đại học
121916,Dưới đại học
7173,Đại học
45978,Đại học
9465,Dưới đại học
52179,Đại học
66490,Đại học
3284,Dưới đại học
124800,Dưới đại học
63553,Đại học
67101,Đại học
66012,Đại học
67096,Dưới đại học
7843,Dưới đại học
102138,Dưới đại học
54074,Đại học
103655,Đại học
59262,Đại học
63817,Đại học
100369,Dưới đại học
126028,Đại học
75219,Trên đại học
103701,Đại học
119967,Dưới đại học
94021,Dưới đại học
54042,
122947,Dưới đại học
100730,Trên đại học
120133,Đại học
4996,Đại học
8047,
110344,Dưới đại học
118969,Đại học
107239,Đại học
124288,Trên đại học
101083,Trên đại học
5073,Đại học
43499,Đại học
131582,Dưới đại học
76995,Dưới đại học
122131,Đại học
1398,Đại học
115352,Trên đại học
81212,Đại học
1365,Dưới đại học
121819,Dưới đại học
107011,Dưới đại học
108450,Dưới đại học
51716,Đại học
8340,Dưới đại học
67629,Đại học
4681,Đại học
102352,Đại học
67328,Đại học
60734,Đại học
66071,Dưới đại học
65926,Đại học
2538,Đại học
67443,Đại học
55307,
101562,Dưới đại học
67373,Trên đại học
59380,Đại học
36431,Đại học
4809,Đại học
25939,Đại học
9301,
3362,Đại học
58971,Đại học
123331,Dưới đại học
7405,Dưới đại học
104013,Trên đại học
104535,Đại học
9162,Dưới đại học
101900,Dưới đại học
2411,Đại học
92609,Dưới đại học
