ID,income
64684,10000000
67192,25000000
118337,
117511,8000000
4571,12000000
64324,10000000
9370,5000000
112015,10000000
65941,10000000
67223,30000000
66294,30000000
98813,7000000
81458,20000000
56501,5000000
79183,10000000
62398,8000000
101615,8000000
63581,7000000
3446,7000000
42151,
67225,20000000
67521,5000000
9099,20000000
7818,
66124,5000000
9116,10000000
67114,9000000
108626,15000000
115677,20000000
57198,450000
63308,15000000
54367,20000000
52147,6000000
103528,11000000
66684,9000000
103557,
110873,
99405,3000000
66052,6000000
103832,8000000
104949,12000000
66251,
52966,500000
17164,4000000
7834,9000000
9001,10000000
66921,10000000
99803,7000000
79888,6000000
65005,4000000
104014,7000000
104313,10000000
92886,30000000
8889,
62750,
7868,18000000
99247,5000000
99736,40000000
6930,10000000
67665,5000000
53608,6000000
102584,5000000
52365,10000000
9423,7000000
4806,
1592,50000000
66957,6000000
105379,40000000
67092,8000000
17842,6000000
9356,
103195,8000000
111473,10000000
102508,15000000
124312,10000000
122374,20000000
102952,4000000
8551,4000000
58726,
8899,5000000
66082,7000000
66027,4000000
105007,
66470,20000000
93690,30000000
119396,5000000
120722,12000000
66213,14000000
75102,500000
110832,
67210,5000000
7770,8000000
4288,7000000
7829,
66936,4000000
77948,8000000
65357,3000000
106942,7000000
65802,15000000
66898,25000000
111243,10000000
102230,7000000
115726,25000000
123085,7000000
9733,800000
5995,6
67277,5000000
102389,12000000
67048,5000000
8883,7000000
74751,8000000
4240,50000000
66917,100000
107746,12000000
107084,
67130,10000000
66298,6000000
108707,20000000
109206,100000000
66722,6000000
67249,30000000
103268,4000000
106321,7000000
9009,10000000
8865,20000000
67188,5000000
67382,
53605,7000000
66391,6000000
3951,
66068,10000000
3725,10000000
62453,4000000
4051,450000
121484,
66658,500000
9230,5000000
66145,2000000000
83300,7000000
63670,8000000
2868,5000000
65928,75000000
105051,14000000
67137,
106989,9000000
66270,4000000
65210,4000000
103105,20000000
59274,5000000
53095,18000000
65724,8000000
5737,8000000
66591,10000000
93680,100000000
54197,10000000
937,
99988,
67260,500000
67320,10000000
66835,5000000
67111,
98313,
77572,
9654,6000000
77531,15000000
7519,500000
111470,10000000
67194,300000
39858,10000000
29999,6000000
2853,5000000
53229,6000000
108516,
5412,25000000
100326,8000000
101247,8000000
5388,6000000
53695,6000000
1928,5000000
66648,10000000
37338,
67431,700000
65903,6000000
6928,
53443,38000000
93837,10000000
27619,11000000
49699,10000000
8419,10000000
54249,
12820,500000
2499,9000000
4967,
4270,500000
31985,
100018,5000000
107623,17000000
9185,100000000
65894,7000000
66958,10000000
60940,15000000
66013,10000000
56384,
65715,500000
66791,10000000
67091,7000000
5016,20000000
3264,30000000
893,5000000
9578,15000000
67117,
66074,7000000
8001,10000000
7456,15000000
5086,5000000
66478,10000000
44503,10000000
50317,6000000
66954,1000000
67353,
4226,6000000
37262,500000
104295,
8376,10000000
53630,20000000
3240,10000000
59235,5000000
1828,10000000
65869,10
7674,11000000
10507,14000000
2571,30000000
66668,8000000
66248,8000000
66119,25000000
66139,15000000
577,15000000
8911,
66802,10000000
102614,
4409,14000000
99059,10000000
105697,30000000
92326,3000000
3368,5000000
9277,5000000
98726,5000000
1423,10000000
1420,0
48244,15000000
5457,8000000
101017,10000000
98730,12000000
5256,2700000
66366,10000000
4284,
9634,15000000
67395,10000000
26171,10000000
8754,
9362,7000000
9438,20000000
8888,
3065,8000000
7900,15000000
3206,10000000
4643,15000000
9219,8000000
6711,15000000
98767,34000000
93519,2500000
1700,10000000
47616,10000000
2469,10000000
60021,10000000
99054,3000000
66788,10000000
8356,6000000
75854,10000000
8934,15000000
58584,25000000
93946,8000000
115242,10000000
110997,30000000
99353,160000000
131519,10000000
131477,
131661,
2485,
66738,8000000
8926,20000000
2413,4000000
67821,20000000
7956,6000000
66616,6000000
2295,12000000
66247,7000000
7596,4000000
50181,6000000
60134,6000000
67238,4000000
98792,8000000
7691,5000000
102666,9000000
73771,4000000
107700,10000000
92634,5000000
102965,10000000
9269,8000000
8373,8000000
9034,11000000
130023,25000000
134603,30000000
57873,4000000
1088,30000000
79374,25000000
103749,
5777,6000000
67025,50000000
82919,4000000
2387,4000000
66274,7000000
99143,
8842,10000000
3835,15000000
